service_name,category,price_inr,location,key_features,details
Extreme Highest Bungee - 117M (With Video),Bungee Jumping,4600,Rishikesh,"117M height, India's Highest, Video included",Highest bungee jump in India located in Rishikesh.
Extreme Highest Bungee - 117M (Without Video),Bungee Jumping,4200,Rishikesh,117M height,Professional bungee jumping experience without video.
Freestyle Himalayan Bungy - 111M (With Video),Bungee Jumping,3600,Rishikesh,111M height,Free style jumping with video coverage.
Dronecraft River rafting 12KM,River Rafting,1290,Rishikesh,"12KM stretch, Drone coverage",Popular rafting stretch from Marine Drive to Shivpuri.
Dronecraft River rafting 16KM,River Rafting,1590,Rishikesh,"16KM stretch, Drone coverage",Rafting from Shivpuri to Nim Beach.
Dronecraft River rafting 24KM,River Rafting,2490,Rishikesh,"24KM stretch, Drone coverage",Long rafting stretch from Marine Drive to Rishikesh.
Roller Coaster Zipline,Zip Lining,1500,Rishikesh,Unique roller coaster experience,First of its kind adventure in Rishikesh.
Zipline over Ganga (800M),Zip Lining,1100,Rishikesh,"800M length, Ganga view",Longest zipline over the river Ganges.
Classic flight (7-11 Minutes),Paragliding,3500,Rishikesh,7-11 minutes flight,Standard paragliding experience with scenic views.
Customized flight (20-30 Minutes),Paragliding,5500,Rishikesh,20-30 minutes flight,Extended paragliding for ultimate Himalayan views.
5 in 1 combo,Combos,8500,Rishikesh,"Bungee, Swing, Zipline, Sky Cycle, Rock Climbing",All-in-one adventure package for thrill seekers.
83M Valley Rope Jump,Rope Jump,3000,Rishikesh,83M height,Traditional rope jump experience in the valley.
